Country,Ages,P.2000,P.2005,P.2010,P.2015,P.2018,P.2019,SE.2010,SE.2015,SE.2018,SE.2019
Colombia,35_44,,,,,,,,,,
Czech Republic ,35_44,,,,,,26.725168,,,,0.26974195
Denmark,35_44,,,,,,46.479729,,,,0.48106849
Estonia,35_44,,,,,,44.189983,,,,0.77435237
Finland,35_44,,,,,,51,,,,0.41404644
France,35_44,,,,,,45.924232,,,,0.2089574
Germany ,35_44,,,,,,32.594028,,,,0.15688011
Greece ,35_44,,,,,,34.472744,,,,0.29050195
Hungary,35_44,,,,,,30.294996,,,,0.28176883
Iceland,35_44,,,,,,51.5914,,,,1.0795403
Ireland,35_44,,,,,,54.380241,,,,0.35291833
Israel,35_44,,,,,,55.92831,,,,0.19894606
Italy ,35_44,,,,,,23.782743,,,,0.16559869
Japan ,35_44,,,,,,57.5,,,,0.372540397
"Korea, Republic of",35_44,,,,,,65.780479,,,,0.441233583
Latvia,35_44,,,,,,39.046734,,,,0.73858118
Lithuania ,35_44,,,,,,53.696915,,,,0.59993398
Luxembourg ,35_44,,,,,,63.840279,,,,1.2910261
Mexico,35_44,,,,,,18.727421,,,,0.16736212
Netherlands,35_44,,,,,,46.732025,,,,0.21360096
New Zealand,35_44,,,,,,44.653664,,,,0.7046755
Norway,35_44,,,,,,49.565746,,,,0.42641637
Poland,35_44,,,,,,41.758633,,,,0.2754446
Portugal,35_44,,,,,,33.401463,,,,0.35038698
Slovakia,35_44,,,,,,26.652496,,,,0.84424502
Slovenia,35_44,,,,,,39.989479,,,,0.553895282
Spain ,35_44,,,,,,44.367241,,,,0.1657245
Sweden ,35_44,,,,,,52.930717,,,,0.37531471
Switzerland ,35_44,,,,,,49.247417,,,,0.35527635
Turkey,35_44,,,,,,21.794872,,,,0.156830777
United Kingdom,35_44,,,,,,54.066368,,,,0.47907147
United States,35_44,,,,,,51.495338,,,,0.31696871
China,35_44,,,,,,,,,,
Russia,35_44,,,,,,,,,,
OECD average,45_54,,,,,,35.27406414,,,,0.080030582
Australia ,45_54,,,,,,44.459614,,,,0.60908884
Austria,45_54,,,,,,30.544025,,,,0.27479157
Belgium ,45_54,,,,,,38.315262,,,,0.32900172
Canada,45_54,,,,,,60.319798,,,,0.38
Chile,45_54,,,,,,18.690937,,,,0.13131319
Colombia,45_54,,,,,,,,,,
Czech Republic ,45_54,,,,,,19.300951,,,,0.23693608
Denmark,45_54,,,,,,37.623497,,,,0.413192
Estonia,45_54,,,,,,38.566452,,,,0.74332762
Finland,45_54,,,,,,50.297619,,,,0.40484118
France,45_54,,,,,,34.488575,,,,0.17956591
Germany ,45_54,,,,,,27.784929,,,,0.13342386
Greece ,45_54,,,,,,29.178566,,,,0.249715
Hungary,45_54,,,,,,23.309879,,,,0.25498861
Iceland,45_54,,,,,,47.040878,,,,1.0781943
Ireland,45_54,,,,,,43.95089,,,,0.35324225
Israel,45_54,,,,,,50.259407,,,,0.22106074
Italy ,45_54,,,,,,16.540222,,,,0.12593526
Japan ,45_54,,,,,,48.846371,,,,0.417688523
"Korea, Republic of",45_54,,,,,,43.709148,,,,0.481423731
Latvia,45_54,,,,,,32.669437,,,,0.64514071
Lithuania ,45_54,,,,,,36.000294,,,,0.4858169
Luxembourg ,45_54,,,,,,47.585232,,,,1.3745989
Mexico,45_54,,,,,,14.864946,,,,0.16099505
Netherlands,45_54,,,,,,36.218906,,,,0.18131031
New Zealand,45_54,,,,,,36.778458,,,,0.6750198
Norway,45_54,,,,,,42.946129,,,,0.39343938
Poland,45_54,,,,,,24.777382,,,,0.25518757
Portugal,45_54,,,,,,21.680393,,,,0.27552751
Slovakia,45_54,,,,,,19.692339,,,,0.73555088
Slovenia,45_54,,,,,,28.782482,,,,0.46889942
Spain ,45_54,,,,,,37.177349,,,,0.14921117
Sweden ,45_54,,,,,,41.147533,,,,0.35726151
Switzerland ,45_54,,,,,,41.487236,,,,0.3172904
Turkey,45_54,,,,,,12.954766,,,,0.134016828
United Kingdom,45_54,,,,,,43.881378,,,,0.461411
United States,45_54,,,,,,47.995029,,,,0.33322078
China,45_54,,,,,,,,,,
Russia,45_54,,,,,,,,,,
OECD average,55_64,,,,,,28.61824736,,,,0.076732594
Australia ,55_64,,,,,,34.93531,,,,0.60928833
Austria,55_64,,,,,,25.15774,,,,0.26339307
Belgium ,55_64,,,,,,30.803074,,,,0.29887322
Canada,55_64,,,,,,49.815067,,,,0.4
Chile,55_64,,,,,,15.572767,,,,0.13223079
Colombia,55_64,,,,,,,,,,
Czech Republic ,55_64,,,,,,17.72208,,,,0.22645003
Denmark,55_64,,,,,,30.750969,,,,0.3735221
Estonia,55_64,,,,,,39.69622,,,,0.74595332
Finland,55_64,,,,,,41.015091,,,,0.36845839
France,55_64,,,,,,24.419941,,,,0.16219148
Germany ,55_64,,,,,,26.91873,,,,0.13033669
Greece ,55_64,,,,,,23.115686,,,,0.22849877
Hungary,55_64,,,,,,19.154903,,,,0.22551754
Iceland,55_64,,,,,,32.72686,,,,0.97415715
Ireland,55_64,,,,,,32.16758,,,,0.35186461
Israel,55_64,,,,,,46.874813,,,,0.24350668
Italy ,55_64,,,,,,12.802745,,,,0.116042
Japan ,55_64,,,,,,44.489521,,,,0.456074844
"Korea, Republic of",55_64,,,,,,24.380547,,,,0.543631225
Latvia,55_64,,,,,,27.810316,,,,0.55946904
Lithuania ,55_64,,,,,,30.421673,,,,0.42876115
Luxembourg ,55_64,,,,,,35.72953,,,,1.3669211
Mexico,55_64,,,,,,13.611008,,,,0.18152165
Netherlands,55_64,,,,,,30.980169,,,,0.16428284
New Zealand,55_64,,,,,,30.204012,,,,0.6616134
Norway,55_64,,,,,,34.234402,,,,0.41099069
Poland,55_64,,,,,,15.962821,,,,0.18855146
Portugal,55_64,,,,,,15.112891,,,,0.23265934
Slovakia,55_64,,,,,,16.076309,,,,0.59472561
Slovenia,55_64,,,,,,21.74276,,,,0.42278925
Spain ,55_64,,,,,,26.662975,,,,0.14233576
Sweden ,55_64,,,,,,32.13031,,,,0.34464413
Switzerland ,55_64,,,,,,34.060177,,,,0.32213551
Turkey,55_64,,,,,,10.968321,,,,0.137175141
United Kingdom,55_64,,,,,,38.661789,,,,0.46388024
United States,55_64,,,,,,43.367798,,,,0.33761522
China,55_64,,,,,,,,,,
Russia,55_64,,,,,,,,,,
